id,first_name,second_name,team_id,position_id,cost
1,Folarin,Balogun,1,4,44
2,Cédric,Alves Soares,1,2,39
3,Mohamed,Elneny,1,3,44
4,Fábio,Ferreira Vieira,1,3,54
5,Gabriel,dos Santos Magalhães,1,2,47
6,Kai,Havertz,1,3,71
8,Gabriel,Fernando de Jesus,1,4,80
9,Jorge Luiz,Frello Filho,1,3,54
10,Jakub,Kiwior,1,2,44
11,Marcus,Oliveira Alencar,1,3,45
12,Gabriel,Martinelli Silva,1,3,77
13,Eddie,Nketiah,1,4,55
14,Martin,Ødegaard,1,3,85
15,Thomas,Partey,1,3,48
16,Nicolas,Pépé,1,3,49
17,Aaron,Ramsdale,1,1,49
18,Rúnar Alex,Rúnarsson,1,1,40
19,Bukayo,Saka,1,3,87
20,William,Saliba,1,2,52
22,Emile,Smith Rowe,1,3,53
24,Kieran,Tierney,1,2,44
25,Takehiro,Tomiyasu,1,2,45
26,Leandro,Trossard,1,3,66
29,Benjamin,White,1,2,55
30,Granit,Xhaka,1,3,60
31,Oleksandr,Zinchenko,1,2,49
113,David,Raya Martin,1,1,48
540,Declan,Rice,1,3,54
578,Reiss,Nelson,1,3,49
585,Jurriën,Timber,1,2,47
646,Karl,Hein,1,1,40
32,Alexandre,Moreno Lopera,2,2,50
34,Leon,Bailey,2,3,55
35,Emiliano,Buendía Stati,2,3,58
36,Matty,Cash,2,2,48
37,Calum,Chambers,2,2,39
38,Philippe,Coutinho Correia,2,3,58
39,Keinan,Davis,2,4,49
40,Leander,Dendoncker,2,3,49
41,Diego Carlos,Santos Silva,2,2,44
42,Lucas,Digne,2,2,46
43,Douglas Luiz,Soares de Paulo,2,3,54
44,Jhon,Durán,2,4,50
45,Kortney,Hause,2,2,40
46,Tim,Iroegbunam,2,3,44
47,Boubacar,Kamara,2,3,50
48,Ezri,Konsa Ngoyo,2,2,45
49,Emiliano,Martínez Romero,2,1,49
50,John,McGinn,2,3,55
51,Tyrone,Mings,2,2,42
53,Robin,Olsen,2,1,40
54,Jaden,Philogene-Bidace,2,3,45
55,Jacob,Ramsey,2,3,59
56,Morgan,Sanson,2,3,45
57,Viljami,Sinisalo,2,1,40
58,Youri,Tielemans,2,3,57
59,Bertrand,Traoré,2,3,50
60,Ollie,Watkins,2,4,79
61,Wesley,Moraes Ferreira da Silva,2,4,50
584,Pau,Torres,2,2,45
599,Moussa,Diaby,2,3,67
618,Omari,Kellyman,2,3,45
670,Filip,Marschall,2,1,40
672,Nicolò,Zaniolo,2,3,55
686,Oliwier,Zych,2,1,40
699,Clément,Lenglet,2,2,45
62,Jaidon,Anthony,3,3,49
63,Philip,Billing,3,3,53
64,David,Brooks,3,3,49
65,Ryan,Christie,3,3,50
66,Lewis,Cook,3,3,50
67,Siriki,Dembélé,3,3,45
68,Ryan,Fredericks,3,2,44
69,James,Hill,3,2,40
70,Lloyd,Kelly,3,2,45
71,Gavin,Kilkenny,3,3,44
72,Justin,Kluivert,3,3,47
73,Jamal,Lowe,3,3,49
74,Emiliano,Marcondes,3,3,44
75,Chris,Mepham,3,2,43
76,Kieffer,Moore,3,4,48
77,Norberto,Murara Neto,3,1,45
78,Dango,Ouattara,3,3,48
79,Ben,Pearson,3,3,45
80,Darren,Randolph,3,1,40
81,Joe,Rothwell,3,3,49
82,Antoine,Semenyo,3,4,45
83,Marcos,Senesi,3,2,44
84,Adam,Smith,3,2,44
85,Dominic,Solanke,3,4,64
86,Marcus,Tavernier,3,3,54
87,Hamed,Traorè,3,3,48
88,Mark,Travers,3,1,40
89,Illia,Zabarnyi,3,2,45
595,Milos,Kerkez,3,2,45
607,Ionuț,Radu,3,1,44
619,Ben,Greenwood,3,2,40
643,Max,Aarons,3,2,45
644,Alex,Scott,3,3,49
673,Tyler,Adams,3,3,50
705,Luis,Sinisterra,3,3,55
90,Kristoffer,Ajer,4,2,45
91,Ellery,Balcombe,4,1,40
92,Shandon,Baptiste,4,3,44
93,Mads,Bech Sørensen,4,2,40
94,Mads,Bidstrup,4,3,45
95,Sergi,Canós Tenés,4,3,50
96,Nathan,Collins,4,2,45
97,Matthew,Cox,4,1,40
98,Mikkel,Damsgaard,4,3,49
99,Josh,Dasilva,4,3,48
100,Halil,Dervişoğlu,4,4,45
101,Mark,Flekken,4,1,45
102,Charlie,Goode,4,2,40
103,Rico,Henry,4,2,45
104,Aaron,Hickey,4,2,45
105,Vitaly,Janelt,4,3,54
106,Mathias,Jensen,4,3,54
107,Keane,Lewis-Potter,4,3,48
108,Bryan,Mbeumo,4,3,69
109,Ben,Mee,4,2,49
110,Christian,Nørgaard,4,3,55
111,Frank,Onyeka,4,3,49
112,Ethan,Pinnock,4,2,45
114,Mads,Roerslev Rasmussen,4,2,44
115,Kevin,Schade,4,3,54
116,Thomas,Strakosha,4,1,39
117,Ivan,Toney,4,4,79
118,Ryan,Trevitt,4,3,45
119,Yoane,Wissa,4,4,60
120,Yegor,Yarmolyuk,4,3,44
121,Mathias,Jorgensen,4,2,44
258,Neal,Maupay,4,4,49
620,Michael,Olakigbe,4,3,45
684,Ethan,Brierley,4,3,45
701,Saman,Ghoddos,4,3,45
122,Simon,Adingra,5,3,50
123,Steven,Alzate,5,3,44
124,Yasin,Ayari,5,3,45
125,Facundo,Buonanotte,5,3,48
127,Aaron,Connolly,5,4,45
128,Mahmoud,Dahoud,5,3,48
129,Lewis,Dunk,5,2,50
130,Julio,Enciso,5,3,52
131,Pervis,Estupiñán,5,2,53
132,Evan,Ferguson,5,4,60
133,Billy,Gilmour,5,3,49
134,Pascal,Groß,5,3,63
135,João Pedro,Junqueira de Jesus,5,4,54
136,Michał,Karbownik,5,2,40
137,Kacper,Kozłowski,5,3,45
138,Adam,Lallana,5,3,49
139,Tariq,Lamptey,5,2,39
140,Solly,March,5,3,64
141,Tom,McGill,5,1,39
142,James,Milner,5,3,49
143,Kaoru,Mitoma,5,3,66
144,Jakub,Moder,5,3,44
146,Jeremy,Sarmiento Morante,5,3,45
147,Kjell,Scherpen,5,1,40
148,Jason,Steele,5,1,44
149,Deniz,Undav,5,4,55
150,Jan Paul,van Hecke,5,2,40
151,Joël,Veltman,5,2,44
152,Bart,Verbruggen,5,1,44
153,Adam,Webster,5,2,44
154,Danny,Welbeck,5,4,58
155,Andi,Zeqiri,5,4,44
606,Igor Julio,dos Santos de Paulo,5,2,43
621,Jack,Hinshelwood,5,3,45
690,Carlos,Baleba,5,3,45
700,Anssumane,Fati Vieira,5,3,65
156,Enock,Agyei,6,3,44
157,Ameen,Al-Dakhil,6,2,40
158,Samuel,Bastien,6,3,49
159,Manuel Benson,Hedilazio,6,3,53
160,Jordan,Beyer,6,2,40
161,Josh,Brownhill,6,3,48
162,Darko,Churlinov,6,3,44
163,Jack,Cork,6,3,48
164,Dara,Costelloe,6,3,45
165,Josh,Cullen,6,3,50
166,CJ,Egan-Riley,6,2,39
167,Hjalmar,Ekdal,6,2,39
168,Lyle,Foster,6,4,50
169,Denis,Franchi,6,1,40
170,Jóhann Berg,Gudmundsson,6,3,49
171,Luke,McNally,6,2,40
172,Arijanet,Muric,6,1,44
173,Dara,O'Shea,6,2,44
174,Michael,Obafemi,6,4,49
175,Bailey,Peacock-Farrell,6,1,40
176,Connor,Roberts,6,2,44
177,Jay,Rodriguez,6,4,53
178,Charlie,Taylor,6,2,39
179,Bobby,Thomas,6,2,40
180,Scott,Twine,6,3,49
181,Lawrence,Vigouroux,6,1,40
182,Victor,da Silva,6,2,44
183,Wout,Weghorst,6,4,55
184,Anass,Zaroury,6,3,49
475,Sander,Berge,6,3,48
594,Zeki,Amdouni,6,4,54
596,James,Trafford,6,1,45
600,Nathan,Redmond,6,3,48
605,Luca,Koleosho,6,3,50
608,Jacob,Bruun Larsen,6,3,49
622,Owen,Dodgson,6,2,40
660,Wilson,Odobert,6,3,50
674,Hannes,Delcroix,6,2,40
675,Aaron,Ramsey,6,3,50
694,Han-Noah,Massengo,6,3,50
706,Mike,Trésor,6,3,55
126,Moisés,Caicedo Corozo,7,3,48
145,Robert,Sánchez,7,1,46
185,Ethan,Ampadu,7,2,40
187,Kepa,Arrizabalaga,7,1,50
188,Pierre-Emerick,Aubameyang,7,4,65
189,César,Azpilicueta,7,2,45
190,Abdul Rahman,Baba,7,2,40
191,Benoît,Badiashile,7,2,44
192,Marcus,Bettinelli,7,1,40
193,Armando,Broja,7,4,49
194,Trevoh,Chalobah,7,2,43
195,Ben,Chilwell,7,2,56
196,Carney,Chukwuemeka,7,3,43
197,Levi,Colwill,7,2,45
198,Marc,Cucurella Saseta,7,2,48
199,Enzo,Fernández,7,3,49
200,David Datro,Fofana,7,4,50
201,Wesley,Fofana,7,2,44
202,Conor,Gallagher,7,3,54
203,Malo,Gusto,7,2,43
206,Reece,James,7,2,53
207,Romelu,Lukaku Bolingoli,7,4,68
208,Noni,Madueke,7,3,53
210,Mykhailo,Mudryk,7,3,63
211,Nicolas,Jackson,7,4,69
212,Christopher,Nkunku,7,4,73
213,Christian,Pulisic,7,3,55
214,Malang,Sarr,7,2,44
215,Gabriel,Słonina,7,1,40
216,Raheem,Sterling,7,3,71
217,Thiago,Emiliano da Silva,7,2,50
218,Hakim,Ziyech,7,3,54
362,Cole,Palmer,7,3,49
589,Ângelo Gabriel,Borges Damaceno,7,3,50
609,Ian,Maatsen,7,3,52
611,Axel,Disasi,7,2,51
613,Lesley,Ugochukwu,7,3,44
623,Mason,Burstow,7,4,45
659,Lucas,Bergström,7,1,40
