player_id,form,total_points,bonus_points,points_per_game,selected_by_percent,threat,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,games_started
1,0.0,0,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0
2,0.0,0,0,0.0,0.4,0.0,0,0,0,0,0,0,0,0
3,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
4,2.7,15,0,3.8,0.1,58.0,171,0,3,1,2,0,0,2
5,2.7,10,0,2.0,12.9,8.0,294,0,0,1,3,1,0,3
6,1.0,8,0,1.3,1.8,60.0,366,0,0,1,4,2,0,4
8,3.0,10,2,2.5,3.4,93.0,115,1,0,0,2,1,0,1
9,0.7,4,0,1.0,0.2,0.0,63,0,0,0,2,0,0,0
10,0.0,2,0,1.0,0.1,14.0,91,0,0,0,2,0,0,1
11,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
12,2.0,16,0,3.2,5.6,131.0,356,0,2,1,4,0,0,5
13,1.7,23,2,3.8,5.6,136.0,425,2,1,3,4,1,0,5
14,3.7,26,3,4.3,21.0,160.0,532,2,0,2,5,1,0,6
15,0.0,6,0,2.0,0.2,15.0,235,0,0,1,2,0,0,3
16,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
17,0.7,11,0,2.8,13.3,0.0,360,0,0,1,4,0,0,4
18,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
19,7.7,44,7,7.3,65.9,212.0,538,3,3,2,6,1,0,6
20,3.0,23,2,3.8,28.9,9.0,540,0,1,2,6,0,0,6
22,0.3,1,0,1.0,0.1,2.0,1,0,0,0,0,0,0,0
24,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
25,0.7,6,0,1.5,0.2,9.0,130,0,0,1,1,0,1,1
26,3.7,13,3,4.3,2.3,33.0,128,1,0,1,2,0,0,1
29,4.3,22,2,3.7,8.9,33.0,540,0,1,2,6,1,0,6
30,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
31,3.3,12,1,2.4,5.2,10.0,279,0,0,1,4,0,0,3
113,3.3,10,2,5.0,2.8,0.0,180,0,0,1,2,0,0,2
540,4.7,21,3,3.5,5.0,70.0,495,1,0,2,5,0,0,6
578,0.7,2,0,1.0,0.0,8.0,14,0,0,0,0,0,0,0
585,0.0,0,0,0.0,0.6,0.0,49,0,0,0,0,1,0,1
646,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
32,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
34,1.8,22,3,4.4,1.6,59.0,201,2,1,1,4,1,0,2
35,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
36,5.8,28,3,4.7,18.1,189.0,536,2,0,2,9,2,0,6
37,0.0,0,0,0.0,1.1,0.0,0,0,0,0,0,0,0,0
38,0.0,2,0,1.0,0.2,12.0,24,0,0,0,1,0,0,0
39,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
40,0.5,2,0,1.0,0.0,0.0,2,0,0,0,0,0,0,0
41,0.8,4,0,1.0,0.3,45.0,160,0,0,0,4,0,0,2
42,4.0,25,2,4.2,4.4,35.0,530,0,3,2,10,3,0,6
43,4.0,24,3,4.0,2.0,67.0,489,2,0,2,10,3,0,6
44,2.0,15,3,3.0,0.3,55.0,57,2,0,0,0,1,0,0
45,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
46,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
47,2.0,13,1,2.2,0.1,11.0,506,0,0,2,10,1,0,6
48,3.0,18,1,3.0,1.0,13.0,540,0,0,2,10,0,0,6
49,2.2,18,2,3.6,6.4,0.0,450,0,0,2,9,2,0,5
50,2.0,20,2,3.3,0.6,64.0,477,1,0,2,8,1,0,6
51,0.0,0,0,0.0,2.2,5.0,30,0,0,0,2,0,0,1
53,0.5,2,0,2.0,0.8,0.0,90,0,0,0,1,0,0,1
54,0.0,1,0,1.0,0.1,2.0,3,0,0,0,1,0,0,0
55,0.2,1,0,1.0,0.1,17.0,15,0,0,0,0,0,0,0
56,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
57,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
58,1.0,6,0,1.0,0.6,12.0,135,0,0,0,3,0,0,0
59,0.2,1,0,1.0,0.0,0.0,9,0,0,0,0,0,0,0
60,5.2,31,3,5.2,17.5,192.0,500,1,4,2,10,0,0,6
61,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
584,3.2,19,2,3.2,2.1,19.0,509,0,0,2,8,0,0,5
599,5.5,32,2,5.3,11.0,146.0,481,2,2,2,9,0,0,6
618,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
670,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
672,1.2,5,0,1.2,0.0,67.0,172,0,0,1,1,1,0,2
686,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
699,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
62,0.0,3,0,1.0,0.1,16.0,151,0,0,0,5,1,0,2
63,2.3,13,0,2.2,0.4,82.0,526,0,0,1,11,0,0,6
64,3.0,13,2,2.2,0.1,64.0,144,1,0,0,2,1,0,1
65,3.3,15,0,2.5,0.0,66.0,442,0,1,1,9,0,0,6
66,2.3,8,0,2.0,0.0,18.0,315,0,0,1,6,0,0,3
67,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
68,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
69,0.0,1,0,1.0,0.2,0.0,15,0,0,0,0,0,0,0
70,3.0,10,2,2.5,0.0,2.0,276,0,0,1,5,1,0,3
71,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
72,1.7,8,0,1.3,0.2,56.0,276,0,0,0,4,0,0,3
73,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
74,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
75,0.3,1,0,0.5,0.1,0.0,33,0,0,0,1,1,0,0
76,0.0,3,0,1.0,0.3,17.0,54,0,0,0,0,0,0,0
77,4.0,26,5,4.3,1.4,0.0,540,0,0,1,11,2,0,6
78,1.3,4,0,2.0,0.0,51.0,89,0,0,1,1,0,0,1
79,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
80,0.0,0,0,0.0,0.5,0.0,0,0,0,0,0,0,0,0
81,0.0,5,0,1.7,0.0,3.0,210,0,0,0,5,0,0,3
82,0.7,14,1,2.8,3.1,106.0,247,1,1,0,7,1,0,3
83,1.7,7,0,1.4,0.1,0.0,255,0,1,0,6,1,0,3
84,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
85,5.0,29,2,4.8,2.4,217.0,540,3,1,1,11,0,0,6
86,3.0,9,0,3.0,0.0,26.0,153,0,1,1,3,0,0,2
87,0.3,3,0,1.0,0.0,30.0,44,0,0,0,1,0,0,0
88,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
89,2.3,11,0,1.8,0.1,8.0,540,0,0,1,11,1,0,6
595,1.7,9,0,1.5,0.2,10.0,523,0,0,1,11,1,0,6
607,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
619,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
643,2.3,11,0,1.8,0.2,8.0,524,0,0,1,11,1,0,6
644,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
673,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
705,0.5,1,0,1.0,0.0,4.0,17,0,0,0,0,0,0,0
90,0.3,6,0,1.5,0.3,54.0,122,0,1,0,4,0,0,1
91,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
92,0.0,1,0,1.0,1.2,0.0,18,0,0,0,0,0,0,0
93,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
94,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
95,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
96,2.0,15,0,2.5,0.5,29.0,459,0,1,1,7,1,0,5
97,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
98,0.0,2,0,1.0,0.1,17.0,52,0,0,0,0,0,0,0
99,0.0,1,0,1.0,0.0,2.0,9,0,0,0,0,0,0,0
100,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
101,1.7,17,1,2.8,3.8,0.0,540,0,0,1,9,1,0,6
102,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
103,0.7,13,0,2.6,3.2,17.0,401,0,1,1,5,1,0,5
104,1.0,10,0,1.7,0.4,33.0,472,0,0,1,9,3,0,6
105,3.0,16,0,2.7,0.1,49.0,472,0,1,1,6,0,0,6
106,6.7,30,5,5.0,1.0,53.0,469,2,1,2,8,1,0,6
107,1.3,6,0,1.2,0.0,51.0,144,0,0,0,4,0,0,1
108,3.7,36,4,6.0,30.1,196.0,540,4,0,1,9,1,0,6
109,1.0,3,0,1.5,2.5,4.0,151,0,0,0,3,0,0,2
110,1.7,15,0,2.5,0.1,56.0,490,0,1,1,9,1,0,6
111,1.0,4,0,1.0,0.0,25.0,83,0,0,0,4,0,0,0
112,1.3,14,1,2.3,2.1,40.0,540,0,0,1,9,0,0,6
114,1.0,5,0,1.2,0.1,2.0,138,0,0,0,2,0,0,1
115,2.0,19,2,3.8,0.2,62.0,255,1,1,1,2,0,0,3
116,0.0,0,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0
117,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
118,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
119,1.7,27,5,4.5,12.4,207.0,509,2,1,1,9,1,0,6
120,0.0,0,0,0.0,0.7,0.0,0,0,0,0,0,0,0,0
121,0.0,1,0,1.0,0.1,0.0,6,0,0,0,0,0,0,0
258,0.3,4,0,1.3,0.7,99.0,128,0,0,1,2,0,0,1
620,0.7,2,0,1.0,0.0,13.0,9,0,0,0,0,0,0,0
684,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
701,0.0,0,0,0.0,0.0,0.0,17,0,0,0,0,1,0,0
122,2.7,15,0,3.0,0.3,54.0,206,1,1,0,4,0,0,2
123,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
124,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
125,0.3,1,0,1.0,0.0,7.0,45,0,0,0,1,0,0,1
127,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
128,2.3,11,0,2.2,0.1,9.0,244,0,1,1,3,1,0,3
129,1.7,10,0,1.7,3.6,74.0,540,0,0,0,8,1,0,6
130,0.0,8,0,4.0,0.8,30.0,68,0,2,0,1,1,0,1
131,2.7,27,5,5.4,62.6,93.0,450,1,3,0,7,2,0,5
132,6.3,27,3,4.5,7.8,189.0,255,4,0,1,5,0,0,3
133,6.0,22,4,3.7,0.4,22.0,344,0,3,1,5,1,0,4
134,4.3,26,6,5.2,2.5,104.0,438,2,0,1,6,1,0,5
135,3.3,18,3,3.0,11.7,142.0,279,2,0,1,4,1,0,2
136,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
137,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
138,1.0,5,0,1.2,0.1,10.0,111,0,0,1,2,1,0,1
139,2.7,8,0,2.7,7.0,7.0,92,0,2,0,2,2,0,1
140,1.0,29,4,7.2,7.8,123.0,314,3,0,2,4,0,0,4
141,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
142,0.3,6,0,1.2,0.2,2.0,227,0,0,1,4,2,0,3
143,7.0,39,6,6.5,42.0,229.0,485,3,3,0,7,2,0,5
144,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
146,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
147,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
148,1.0,8,0,2.7,3.5,0.0,270,0,0,0,3,0,0,3
149,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
150,1.0,5,0,1.7,1.8,17.0,270,0,0,0,3,1,0,3
151,1.7,11,0,1.8,0.9,19.0,332,0,1,0,5,1,0,3
152,1.3,6,0,2.0,0.4,0.0,270,0,0,0,5,0,0,3
153,0.7,4,0,1.3,0.2,8.0,270,0,0,0,5,1,0,3
154,3.0,13,1,2.6,1.1,84.0,317,1,0,2,3,0,0,5
155,0.0,0,0,0.0,0.8,0.0,0,0,0,0,0,0,0,0
606,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
621,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
690,0.3,1,0,1.0,0.0,0.0,16,0,0,0,0,0,0,0
700,0.7,2,0,1.0,0.6,43.0,71,0,0,0,1,0,0,0
156,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
157,1.2,6,0,1.2,0.7,17.0,450,0,0,0,13,0,0,5
158,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
159,0.5,3,0,1.0,0.1,22.0,65,0,0,0,3,0,0,1
160,0.8,4,1,1.0,2.9,0.0,323,0,0,0,9,2,0,4
161,2.2,10,0,2.5,0.2,38.0,221,1,0,0,5,1,0,2
162,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
163,0.2,1,0,1.0,0.0,2.0,16,0,0,0,0,0,0,0
164,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
165,2.2,11,0,2.2,0.1,6.0,450,0,1,0,13,2,0,5
166,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
167,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
168,3.8,17,1,4.2,0.7,96.0,350,2,1,0,12,0,1,4
169,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
170,1.8,7,0,1.8,0.0,6.0,171,0,1,0,4,1,0,3
171,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
172,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
173,0.2,2,0,0.7,0.2,11.0,270,0,0,0,11,0,0,3
174,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
175,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
176,1.0,5,0,1.0,0.3,6.0,450,0,0,0,13,1,0,5
177,0.5,2,0,1.0,0.2,10.0,26,0,0,0,0,0,0,0
178,1.0,4,0,2.0,0.9,3.0,180,0,0,0,2,0,0,2
179,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
180,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
181,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
182,0.0,1,0,1.0,0.1,2.0,90,0,0,0,3,0,0,1
183,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
184,0.2,-1,0,-0.5,0.0,6.0,57,0,0,0,1,0,1,0
475,1.0,6,0,1.2,0.1,25.0,245,0,0,0,8,1,0,3
594,3.2,15,2,3.0,0.2,75.0,334,1,0,0,10,0,0,5
596,2.0,10,0,2.0,1.0,0.0,450,0,0,0,13,1,0,5
600,0.5,3,0,1.0,0.0,4.0,53,0,0,0,2,0,0,0
605,2.8,13,0,2.6,0.1,45.0,341,0,1,0,12,0,0,5
608,0.8,4,0,1.0,0.0,58.0,77,0,0,0,1,0,0,0
622,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
660,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
674,0.2,1,0,0.3,0.0,42.0,138,0,0,0,6,1,0,1
675,0.8,3,0,1.5,0.0,16.0,94,0,0,0,1,0,0,1
694,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
706,1.5,3,0,1.5,0.0,4.0,84,0,0,0,1,0,0,0
126,1.3,8,0,2.0,1.7,12.0,273,0,0,1,3,0,0,3
145,5.3,26,3,4.3,6.3,0.0,540,0,0,2,6,0,0,6
185,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
187,0.0,0,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0
188,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
189,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
190,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
191,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
192,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
193,0.3,1,0,1.0,0.1,7.0,11,0,0,0,0,0,0,0
194,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
195,0.3,15,2,2.5,23.8,88.0,334,0,1,1,5,3,0,4
196,0.0,6,0,3.0,1.1,39.0,125,1,0,0,2,2,0,2
197,3.3,19,0,3.2,3.9,93.0,529,0,0,2,6,0,0,6
198,0.0,0,0,0.0,0.4,0.0,0,0,0,0,0,0,0,0
199,2.7,11,0,1.8,3.6,76.0,507,0,0,3,5,2,0,6
200,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
201,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
202,2.0,13,0,2.2,0.4,61.0,495,0,0,2,5,1,0,6
203,2.0,22,2,3.7,13.5,27.0,409,0,2,2,4,0,1,5
206,0.0,2,0,2.0,3.6,3.0,75,0,0,0,1,0,0,1
207,0.0,0,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0
208,0.3,2,0,1.0,0.1,26.0,43,0,0,0,1,0,0,0
210,2.0,8,0,1.6,0.8,38.0,189,0,0,2,2,1,0,2
211,1.0,12,1,2.0,8.9,234.0,509,1,0,3,5,5,0,6
212,0.0,0,0,0.0,0.6,0.0,0,0,0,0,0,0,0,0
213,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
214,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
215,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
216,2.0,29,3,4.8,13.2,251.0,530,2,1,2,6,1,0,6
217,3.3,19,0,3.2,3.7,32.0,540,0,0,2,6,0,0,6
218,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
362,0.8,4,0,1.0,0.2,30.0,87,0,0,0,1,0,0,0
589,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
609,0.7,3,0,0.8,0.1,9.0,35,0,0,0,0,1,0,0
611,3.0,26,3,4.3,6.9,70.0,540,1,0,2,6,2,0,6
613,1.3,6,0,1.5,0.2,2.0,120,0,0,1,1,0,0,1
623,0.0,2,0,1.0,0.1,2.0,8,0,0,0,1,0,0,0
659,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
671,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
677,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
680,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
681,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
687,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
716,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
717,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
718,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
7,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
219,0.3,3,0,1.0,0.2,0.0,36,0,0,0,2,0,0,0
220,2.7,30,6,5.0,8.9,73.0,540,1,0,2,7,0,0,6
221,1.7,17,0,2.8,0.4,136.0,474,0,2,2,4,2,0,6
222,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
223,2.0,12,0,2.0,0.1,21.0,540,0,0,2,6,2,0,6
224,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
225,7.7,34,6,5.7,6.1,276.0,518,4,0,2,4,0,0,6
226,4.0,19,1,3.2,8.5,183.0,540,1,0,2,7,1,0,6
227,0.0,0,0,0.0,0.4,0.0,0,0,0,0,0,0,0,0
228,3.0,19,2,3.8,1.4,4.0,450,0,0,2,4,0,0,5
229,1.7,5,0,1.7,0.0,13.0,181,0,0,1,4,1,0,2
230,3.3,20,1,3.3,1.8,0.0,540,0,0,2,7,0,0,6
231,0.7,9,0,2.2,0.2,54.0,360,0,0,1,4,0,0,4
232,4.3,14,0,3.5,0.5,23.0,123,0,3,0,4,0,0,0
233,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
234,3.3,22,2,3.7,1.2,18.0,540,0,1,2,7,1,0,6
235,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
236,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
237,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
238,0.3,1,0,1.0,0.5,0.0,90,0,0,0,3,0,0,1
239,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
240,2.3,14,0,2.3,0.1,80.0,462,0,0,2,6,0,0,6
241,0.0,1,0,1.0,0.7,0.0,1,0,0,0,0,0,0,0
242,2.0,16,0,2.7,0.3,13.0,532,0,0,2,7,2,0,6
243,0.0,0,0,0.0,1.2,0.0,0,0,0,0,0,0,0,0
385,0.0,0,0,0.0,0.4,0.0,0,0,0,0,0,0,0,0
615,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
657,0.7,3,0,1.0,0.0,15.0,9,0,0,0,1,0,0,0
658,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
244,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
245,1.0,4,0,1.0,0.4,30.0,360,0,0,0,5,3,0,4
246,2.0,7,0,2.3,0.4,29.0,88,1,0,0,3,0,0,1
247,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
248,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
249,5.7,23,2,3.8,0.5,194.0,529,2,0,0,10,1,0,6
250,3.3,15,2,2.5,0.1,31.0,436,0,1,0,9,1,0,5
251,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
252,0.3,1,0,1.0,0.1,0.0,1,0,0,0,0,0,0,0
253,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
254,2.0,10,0,1.7,0.0,20.0,495,0,0,0,8,1,0,6
255,0.0,0,0,0.0,0.8,0.0,0,0,0,0,0,0,0,0
257,0.0,2,0,0.7,0.2,38.0,181,0,0,0,5,1,0,2
259,2.7,8,0,2.7,0.1,21.0,192,0,1,0,2,0,0,2
260,1.3,4,0,2.0,0.2,22.0,180,0,0,0,2,0,0,2
261,2.0,12,0,2.0,0.2,39.0,526,0,0,0,10,0,0,6
262,2.3,10,2,2.0,0.2,18.0,363,0,1,0,8,1,0,4
263,2.0,10,0,1.7,9.7,0.0,540,0,0,0,10,1,0,6
264,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
265,5.7,21,3,3.5,1.9,74.0,540,1,1,0,10,0,0,6
266,0.0,0,0,0.0,0.7,0.0,0,0,0,0,0,0,0,0
579,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
588,1.0,7,0,1.2,0.5,9.0,536,0,0,0,10,2,0,6
601,3.3,14,0,2.3,0.2,170.0,353,1,0,0,7,0,0,3
624,0.0,5,0,1.7,0.1,25.0,117,0,0,1,2,0,0,1
645,0.3,1,0,0.5,0.0,7.0,26,0,0,0,1,1,0,0
649,0.0,1,0,1.0,0.0,0.0,1,0,0,0,0,0,0,0
650,0.0,1,0,1.0,0.0,0.0,1,0,0,0,0,0,0,0
661,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
691,2.0,6,0,2.0,0.3,52.0,217,0,0,1,3,0,0,3
719,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
256,0.7,5,0,1.2,0.3,56.0,183,0,0,0,3,0,0,2
267,2.3,21,0,3.5,1.2,42.0,405,1,1,3,7,1,0,5
268,0.7,4,0,1.0,0.0,5.0,108,0,0,0,2,0,0,2
269,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
270,2.7,18,0,3.0,0.2,96.0,359,1,1,1,8,1,0,4
271,3.3,20,2,3.3,0.9,8.0,540,0,0,3,10,2,0,6
272,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
273,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
274,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
275,5.3,35,8,5.8,14.3,0.0,540,0,0,3,10,0,0,6
276,0.0,6,0,2.0,0.4,9.0,250,0,0,1,4,1,0,3
277,0.0,0,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0
278,0.0,1,0,1.0,0.8,26.0,32,0,0,0,0,0,0,0
279,0.3,2,0,1.0,0.6,4.0,13,0,0,0,2,0,0,0
280,1.7,15,3,3.8,0.4,31.0,293,1,0,2,3,2,0,3
281,6.7,25,4,5.0,1.4,41.0,423,1,0,3,8,1,1,5
282,2.7,16,0,2.7,0.6,9.0,417,0,1,3,8,1,0,5
283,2.0,14,1,2.8,0.6,6.0,450,0,0,2,10,1,0,5
284,0.0,-1,0,0.0,0.4,0.0,0,0,0,0,0,1,0,0
285,2.0,12,0,2.4,0.6,13.0,427,0,0,2,8,2,0,5
286,0.0,1,0,1.0,0.1,0.0,1,0,0,0,0,0,0,0
287,2.7,8,2,4.0,2.0,35.0,39,1,0,0,0,0,0,0
288,2.0,13,0,2.2,0.2,52.0,421,0,0,2,8,0,0,5
558,2.0,10,0,1.7,0.9,93.0,451,0,0,2,8,1,0,6
591,3.3,11,0,2.2,0.3,36.0,264,0,1,2,2,1,0,3
610,0.3,0,0,0.0,0.2,0.0,106,0,0,0,3,0,1,1
625,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
651,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
652,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
662,0.3,3,0,1.0,0.0,21.0,32,0,0,0,3,0,0,0
683,0.7,2,0,2.0,0.0,17.0,74,0,0,0,5,0,0,0
688,5.0,15,3,5.0,0.3,31.0,197,0,0,2,1,1,0,2
692,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
707,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
289,0.0,0,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0
290,3.2,16,3,4.0,8.6,42.0,326,0,1,1,3,2,0,4
