player_id,form,total_points,bonus_points,points_per_game,selected_by_percent,threat,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,games_started
1,0.0,0,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0
2,0.0,0,0,0.0,0.4,0.0,0,0,0,0,0,0,0,0
3,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
4,2.2,16,0,3.2,0.1,58.0,185,0,3,1,2,0,0,2
5,3.5,16,0,2.7,12.7,8.0,384,0,0,2,3,1,0,4
6,2.5,15,0,2.1,1.7,86.0,446,1,0,2,4,3,0,5
8,3.5,15,2,3.0,3.8,113.0,205,1,1,1,2,1,0,2
9,0.8,5,0,1.0,0.2,0.0,72,0,0,0,2,0,0,0
10,0.0,2,0,1.0,0.1,14.0,91,0,0,0,2,0,0,1
11,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
12,1.5,16,0,3.2,4.5,131.0,356,0,2,1,4,0,0,5
13,2.5,28,2,4.0,5.6,151.0,493,2,2,4,4,1,0,6
14,7.0,43,6,6.1,22.3,187.0,622,3,2,3,5,1,0,7
15,0.0,6,0,2.0,0.2,15.0,235,0,0,1,2,0,0,3
16,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
17,0.5,11,0,2.8,11.9,0.0,360,0,0,1,4,0,0,4
18,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
19,8.0,53,8,7.6,58.1,290.0,613,4,3,3,6,1,0,7
20,3.8,29,2,4.1,26.8,9.0,630,0,1,3,6,0,0,7
22,0.5,2,0,1.0,0.1,36.0,10,0,0,0,0,0,0,0
24,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
25,0.8,7,0,1.4,0.3,9.0,151,0,0,1,1,0,1,1
26,2.8,13,3,4.3,1.8,33.0,128,1,0,1,2,0,0,1
29,6.8,36,4,5.1,9.8,54.0,630,1,1,3,6,1,0,7
30,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
31,4.0,18,1,3.0,5.5,32.0,347,0,0,2,4,0,0,4
113,4.0,16,2,5.3,3.2,0.0,270,0,0,2,2,0,0,3
540,4.2,24,3,3.4,4.4,70.0,575,1,0,3,5,0,0,7
578,0.8,3,0,1.0,0.1,10.0,35,0,0,0,0,0,0,0
585,0.0,0,0,0.0,0.6,0.0,49,0,0,0,0,1,0,1
646,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
32,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
34,1.8,22,3,4.4,1.1,59.0,201,2,1,1,4,1,0,2
35,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
36,3.0,34,4,4.9,22.2,195.0,626,2,1,2,10,2,0,7
37,0.0,0,0,0.0,1.1,0.0,0,0,0,0,0,0,0,0
38,0.0,2,0,1.0,0.2,12.0,24,0,0,0,1,0,0,0
39,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
40,0.5,2,0,1.0,0.0,0.0,2,0,0,0,0,0,0,0
41,0.2,4,0,1.0,0.3,45.0,160,0,0,0,4,0,0,2
42,3.0,26,2,3.7,5.3,41.0,620,0,3,2,11,4,0,7
43,5.5,32,5,4.6,2.4,79.0,579,3,0,2,11,4,0,7
44,1.8,15,3,2.5,0.3,55.0,68,2,0,0,0,2,0,0
45,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
46,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
47,1.8,15,1,2.1,0.1,11.0,595,0,0,2,11,1,0,7
48,2.8,19,1,2.7,1.0,13.0,630,0,0,2,11,1,0,7
49,2.8,20,2,3.3,6.6,0.0,540,0,0,2,10,2,0,6
50,2.8,25,2,3.6,0.6,69.0,567,1,1,2,9,1,0,7
51,0.0,0,0,0.0,2.0,5.0,30,0,0,0,2,0,0,1
53,0.0,2,0,2.0,0.8,0.0,90,0,0,0,1,0,0,1
54,0.0,1,0,1.0,0.1,2.0,3,0,0,0,1,0,0,0
55,1.8,7,0,3.5,0.1,28.0,48,1,0,0,0,0,0,0
56,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
57,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
58,1.0,7,0,1.0,0.6,12.0,136,0,0,0,3,0,0,0
59,0.0,1,0,1.0,0.0,0.0,9,0,0,0,0,0,0,0
60,9.8,54,6,7.7,21.8,283.0,590,4,6,2,11,0,0,7
61,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
584,3.2,21,2,3.0,2.2,19.0,599,0,0,2,9,0,0,6
599,4.5,40,2,5.7,12.5,205.0,559,2,4,2,10,0,0,7
618,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
670,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
672,1.2,6,0,1.2,0.1,91.0,228,0,0,1,2,1,0,3
686,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
699,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
62,0.0,3,0,1.0,0.1,16.0,151,0,0,0,5,1,0,2
63,2.2,15,0,2.1,0.4,96.0,600,0,0,1,14,0,0,7
64,2.2,13,2,2.2,0.1,64.0,144,1,0,0,2,1,0,1
65,3.0,17,0,2.4,0.1,93.0,524,0,1,1,12,0,0,7
66,2.2,10,0,2.0,0.0,18.0,405,0,0,1,10,0,0,4
67,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
68,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
69,0.0,1,0,1.0,0.2,0.0,15,0,0,0,0,0,0,0
70,2.2,10,2,2.5,0.0,2.0,276,0,0,1,5,1,0,3
71,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
72,1.5,9,0,1.3,0.2,56.0,334,0,0,0,7,0,0,4
73,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
74,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
75,0.2,1,0,0.5,0.1,0.0,33,0,0,0,1,1,0,0
76,0.0,3,0,1.0,0.3,17.0,54,0,0,0,0,0,0,0
77,3.2,27,5,3.9,1.6,0.0,630,0,0,1,15,2,0,7
78,1.2,5,0,1.7,0.0,60.0,120,0,0,1,2,0,0,1
79,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
80,0.0,0,0,0.0,0.5,0.0,0,0,0,0,0,0,0,0
81,0.2,6,0,1.5,0.0,3.0,225,0,0,0,6,0,0,3
82,0.8,15,1,2.5,3.0,106.0,254,1,1,0,8,1,0,3
83,1.2,7,0,1.2,0.1,0.0,345,0,1,0,10,1,0,4
84,0.2,1,0,1.0,0.0,0.0,7,0,0,0,1,0,0,0
85,4.2,31,2,4.4,2.2,235.0,630,3,1,1,15,0,0,7
86,2.5,10,0,2.5,0.0,30.0,211,0,1,1,6,0,0,3
87,0.2,3,0,1.0,0.0,30.0,44,0,0,0,1,0,0,0
88,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
89,1.8,11,0,1.6,0.1,8.0,630,0,0,1,15,1,0,7
595,1.5,10,0,1.4,0.2,16.0,605,0,0,1,14,1,0,7
607,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
619,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
643,1.8,11,0,1.6,0.2,14.0,614,0,0,1,15,1,0,7
644,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
673,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
705,0.7,2,0,1.0,0.0,8.0,48,0,0,0,1,0,0,0
90,0.8,8,0,1.6,0.3,71.0,210,0,1,0,5,0,0,2
91,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
92,0.0,1,0,1.0,1.1,0.0,18,0,0,0,0,0,0,0
93,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
94,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
95,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
96,2.0,17,0,2.4,0.5,31.0,549,0,1,1,8,1,0,6
97,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
98,0.0,2,0,1.0,0.0,17.0,52,0,0,0,0,0,0,0
99,0.0,1,0,1.0,0.0,2.0,9,0,0,0,0,0,0,0
100,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
101,1.8,19,1,2.7,3.5,0.0,630,0,0,1,10,1,0,7
102,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
103,0.5,13,0,2.6,2.3,17.0,401,0,1,1,5,1,0,5
104,1.0,11,0,1.6,0.4,33.0,540,0,0,1,10,4,0,7
105,2.8,18,0,2.6,0.1,62.0,560,0,1,1,7,0,0,7
106,6.5,36,6,5.1,1.3,53.0,537,2,2,2,9,1,0,7
107,1.5,8,0,1.3,0.0,58.0,218,0,0,0,5,0,0,2
108,3.2,38,4,5.4,26.8,213.0,630,4,0,1,10,1,0,7
109,0.8,3,0,1.5,1.9,4.0,151,0,0,0,3,0,0,2
110,3.5,24,2,3.4,0.2,89.0,580,1,1,1,10,1,0,7
111,0.8,4,0,0.8,0.0,30.0,104,0,0,0,4,1,0,0
112,1.5,16,1,2.3,1.9,63.0,630,0,0,1,10,0,0,7
114,1.0,6,0,1.2,0.1,2.0,139,0,0,0,2,0,0,1
115,1.5,19,2,3.8,0.1,62.0,255,1,1,1,2,0,0,3
116,0.0,0,0,0.0,0.6,0.0,0,0,0,0,0,0,0,0
117,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
118,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
119,1.8,29,5,4.1,11.0,217.0,599,2,1,1,10,1,0,7
120,0.0,0,0,0.0,0.7,0.0,0,0,0,0,0,0,0,0
121,0.0,1,0,1.0,0.1,0.0,6,0,0,0,0,0,0,0
258,0.5,5,0,1.2,0.7,132.0,143,0,0,1,2,0,0,1
620,0.8,3,0,1.0,0.0,18.0,10,0,0,0,0,0,0,0
684,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
701,0.2,1,0,0.5,0.0,0.0,38,0,0,0,0,1,0,0
122,2.2,16,0,2.7,0.3,63.0,234,1,1,0,7,0,0,2
123,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
124,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
125,0.2,1,0,1.0,0.0,7.0,45,0,0,0,1,0,0,1
127,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
128,1.8,11,0,2.2,0.1,9.0,244,0,1,1,3,1,0,3
129,0.8,8,0,1.1,3.5,76.0,630,0,0,0,14,2,0,7
130,0.0,8,0,4.0,0.7,30.0,68,0,2,0,1,1,0,1
131,1.5,25,5,4.2,59.8,110.0,495,1,3,0,10,2,0,6
132,5.0,28,3,4.0,7.6,189.0,300,4,0,1,8,0,0,4
133,5.0,24,4,3.4,0.6,23.0,434,0,3,1,11,1,0,5
134,3.2,26,6,5.2,1.7,104.0,438,2,0,1,6,1,0,5
135,3.5,22,3,3.1,10.6,155.0,324,2,1,1,7,1,0,2
136,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
137,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
138,0.8,5,0,1.2,0.1,10.0,111,0,0,1,2,1,0,1
139,2.0,8,0,2.0,7.5,7.0,137,0,2,0,5,2,0,1
140,1.2,31,4,6.2,6.9,127.0,375,3,0,2,7,0,0,5
141,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
142,0.2,6,0,1.2,0.1,2.0,227,0,0,1,4,2,0,3
143,5.5,40,6,5.7,43.4,246.0,575,3,3,0,13,3,0,6
144,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
146,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
147,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
148,0.8,8,0,2.0,3.2,0.0,360,0,0,0,9,0,0,4
149,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
150,0.8,5,0,1.7,1.8,17.0,270,0,0,0,3,1,0,3
151,1.0,10,0,1.4,0.8,21.0,422,0,1,0,11,1,0,4
152,1.0,6,0,2.0,0.4,0.0,270,0,0,0,5,0,0,3
153,0.2,3,0,0.8,0.2,8.0,360,0,0,0,11,1,0,4
154,2.2,13,1,2.2,1.1,84.0,362,1,0,2,6,1,0,6
155,0.0,0,0,0.0,0.7,0.0,0,0,0,0,0,0,0,0
606,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
621,0.5,2,0,2.0,0.0,2.0,85,0,0,0,5,0,0,1
690,0.5,2,0,1.0,0.0,0.0,20,0,0,0,1,0,0,0
700,1.8,7,0,2.3,0.5,92.0,116,1,0,0,4,1,0,0
156,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
157,1.0,7,0,1.2,0.8,34.0,540,0,0,0,15,0,0,6
158,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
159,0.2,3,0,1.0,0.1,22.0,65,0,0,0,3,0,0,1
160,0.6,4,1,0.8,2.8,0.0,413,0,0,0,11,3,0,5
161,2.2,12,0,2.4,0.2,38.0,311,1,0,0,7,1,0,3
162,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
163,0.2,1,0,1.0,0.0,2.0,16,0,0,0,0,0,0,0
164,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
165,2.0,13,0,2.2,0.1,10.0,540,0,1,0,15,2,0,6
166,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
167,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
168,1.6,17,1,4.2,0.6,96.0,350,2,1,0,12,0,1,4
169,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
170,0.6,7,0,1.8,0.0,6.0,171,0,1,0,4,1,0,3
171,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
172,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
173,0.0,2,0,0.7,0.2,11.0,270,0,0,0,11,0,0,3
174,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
175,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
176,0.8,6,0,1.0,0.3,6.0,537,0,0,0,15,1,0,6
177,0.4,3,0,1.0,0.2,10.0,58,0,0,0,1,0,0,0
178,0.8,4,0,1.3,1.5,3.0,270,0,0,0,4,1,0,3
179,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
180,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
181,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
182,0.2,2,0,1.0,0.1,9.0,92,0,0,0,3,0,0,1
183,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
184,0.4,0,0,0.0,0.0,8.0,59,0,0,0,1,0,1,0
475,1.0,8,0,1.3,0.1,31.0,332,0,0,0,10,1,0,4
594,2.2,15,2,2.5,0.4,94.0,391,1,0,0,11,1,0,6
596,1.8,13,0,2.2,1.0,0.0,540,0,0,0,15,1,0,6
600,0.2,3,0,1.0,0.0,4.0,53,0,0,0,2,0,0,0
605,2.0,14,0,2.3,0.2,51.0,398,0,1,0,13,0,0,6
608,0.6,5,0,1.0,0.0,65.0,109,0,0,0,2,0,0,0
622,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
660,0.2,1,0,1.0,0.0,7.0,23,0,0,0,1,0,0,0
674,0.0,1,0,0.3,0.0,42.0,138,0,0,0,6,1,0,1
675,0.8,5,0,1.7,0.0,18.0,160,0,0,0,2,0,0,2
694,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
706,0.8,3,0,1.5,0.0,4.0,84,0,0,0,1,0,0,0
126,1.0,8,0,2.0,1.6,12.0,273,0,0,1,3,0,0,3
145,4.0,26,3,4.3,6.4,0.0,540,0,0,2,6,0,0,6
185,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
187,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
188,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
189,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
190,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
191,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
192,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
193,0.2,1,0,1.0,0.1,7.0,11,0,0,0,0,0,0,0
194,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
195,0.2,15,2,2.5,13.5,88.0,334,0,1,1,5,3,0,4
196,0.0,6,0,3.0,1.2,39.0,125,1,0,0,2,2,0,2
197,2.5,19,0,3.2,4.0,93.0,529,0,0,2,6,0,0,6
198,0.0,0,0,0.0,0.4,0.0,0,0,0,0,0,0,0,0
199,2.0,11,0,1.8,3.4,76.0,507,0,0,3,5,2,0,6
200,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
201,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
202,1.5,13,0,2.2,0.4,61.0,495,0,0,2,5,1,0,6
203,1.5,22,2,3.7,9.7,27.0,409,0,2,2,4,0,1,5
206,0.0,2,0,2.0,3.4,3.0,75,0,0,0,1,0,0,1
207,0.0,0,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0
208,0.2,2,0,1.0,0.1,26.0,43,0,0,0,1,0,0,0
210,1.5,8,0,1.6,0.8,38.0,189,0,0,2,2,1,0,2
211,0.8,12,1,2.0,5.8,234.0,509,1,0,3,5,5,0,6
212,0.0,0,0,0.0,0.6,0.0,0,0,0,0,0,0,0,0
213,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
214,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
215,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
216,1.5,29,3,4.8,11.2,251.0,530,2,1,2,6,1,0,6
217,2.5,19,0,3.2,3.6,32.0,540,0,0,2,6,0,0,6
218,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
362,0.8,4,0,1.0,0.3,30.0,87,0,0,0,1,0,0,0
589,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
609,0.5,3,0,0.8,0.1,9.0,35,0,0,0,0,1,0,0
611,2.2,26,3,4.3,6.7,70.0,540,1,0,2,6,2,0,6
613,1.0,6,0,1.5,0.3,2.0,120,0,0,1,1,0,0,1
623,0.0,2,0,1.0,0.1,2.0,8,0,0,0,1,0,0,0
659,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
671,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
677,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
680,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
681,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
687,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
716,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
717,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
718,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
7,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
219,0.2,3,0,1.0,0.1,0.0,36,0,0,0,2,0,0,0
220,5.8,45,9,6.4,10.4,102.0,630,2,0,3,7,0,0,7
221,2.0,20,0,2.9,0.4,138.0,564,0,2,3,4,2,0,7
222,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
223,2.2,15,0,2.1,0.1,21.0,630,0,0,3,6,2,0,7
224,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
225,5.8,34,6,5.7,4.1,276.0,518,4,0,2,4,0,0,6
226,4.5,25,1,3.6,7.6,184.0,627,1,1,3,7,1,0,7
227,0.0,0,0,0.0,0.4,0.0,0,0,0,0,0,0,0,0
228,4.0,26,3,4.3,1.5,8.0,540,0,0,3,4,0,0,6
229,1.8,7,0,1.8,0.0,20.0,271,0,0,2,4,2,0,3
230,4.8,29,3,4.1,1.9,0.0,630,0,0,3,7,0,0,7
231,0.5,9,0,2.2,0.1,54.0,360,0,0,1,4,0,0,4
232,3.8,16,0,3.2,0.6,23.0,213,0,3,1,4,0,0,1
233,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
234,4.0,28,2,4.0,1.2,18.0,630,0,1,3,7,1,0,7
235,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
236,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
237,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
238,0.5,2,0,1.0,0.5,0.0,92,0,0,0,3,0,0,1
239,0.2,1,0,1.0,0.1,2.0,12,0,0,0,0,0,0,0
240,2.5,17,0,2.4,0.1,91.0,539,0,0,3,6,0,0,7
241,0.0,1,0,1.0,0.6,0.0,1,0,0,0,0,0,0,0
242,2.8,21,0,3.0,0.3,13.0,622,0,0,3,7,3,0,7
243,0.0,0,0,0.0,1.2,0.0,0,0,0,0,0,0,0,0
385,0.0,0,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0
615,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
657,0.5,3,0,1.0,0.0,15.0,9,0,0,0,1,0,0,0
658,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
720,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
721,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
244,0.0,0,0,0.0,0.2,0.0,0,0,0,0,0,0,0,0
245,1.0,5,0,1.0,0.6,32.0,450,0,0,0,7,3,0,5
246,3.0,13,0,3.2,1.1,99.0,178,2,0,0,5,0,0,2
247,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
248,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
249,5.2,27,2,3.9,0.9,233.0,588,2,1,0,12,1,0,7
250,3.0,17,2,2.4,0.1,55.0,526,0,1,0,11,1,0,6
251,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
252,0.2,1,0,1.0,0.1,0.0,1,0,0,0,0,0,0,0
253,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
254,1.8,11,0,1.6,0.0,25.0,540,0,0,0,10,1,0,7
255,0.0,0,0,0.0,0.7,0.0,0,0,0,0,0,0,0,0
257,0.0,2,0,0.7,0.2,38.0,181,0,0,0,5,1,0,2
259,2.5,10,0,2.5,0.1,33.0,275,0,1,0,4,0,0,3
260,1.5,6,1,2.0,0.2,26.0,270,0,0,0,4,0,0,3
261,2.0,14,0,2.0,0.2,78.0,616,0,0,0,12,0,0,7
262,2.0,11,2,1.8,0.2,18.0,375,0,1,0,8,1,0,4
263,1.8,11,0,1.6,9.2,0.0,630,0,0,0,12,1,0,7
264,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
265,4.5,22,3,3.1,3.2,74.0,630,1,1,0,12,0,0,7
266,0.0,0,0,0.0,0.7,0.0,0,0,0,0,0,0,0,0
579,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
588,1.0,8,0,1.1,0.5,11.0,613,0,0,0,12,2,0,7
601,2.8,15,0,2.1,0.3,172.0,359,1,0,0,7,0,0,3
624,0.0,5,0,1.7,0.1,25.0,117,0,0,1,2,0,0,1
645,0.2,1,0,0.5,0.0,7.0,26,0,0,0,1,1,0,0
649,0.0,1,0,1.0,0.0,0.0,1,0,0,0,0,0,0,0
650,0.0,1,0,1.0,0.0,0.0,1,0,0,0,0,0,0,0
661,0.2,1,0,1.0,0.0,2.0,45,0,0,0,0,0,0,0
691,1.8,7,0,1.8,0.3,73.0,247,0,0,1,3,0,0,3
719,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
256,0.5,5,0,1.2,0.3,56.0,183,0,0,0,3,0,0,2
267,1.8,21,0,3.5,1.1,42.0,405,1,1,3,7,1,0,5
268,0.5,4,0,1.0,0.0,5.0,108,0,0,0,2,0,0,2
269,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
270,2.0,18,0,3.0,0.2,96.0,359,1,1,1,8,1,0,4
271,2.5,20,2,3.3,0.9,8.0,540,0,0,3,10,2,0,6
272,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
273,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
274,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
275,4.0,35,8,5.8,15.3,0.0,540,0,0,3,10,0,0,6
276,0.0,6,0,2.0,0.4,9.0,250,0,0,1,4,1,0,3
277,0.0,0,0,0.0,0.3,0.0,0,0,0,0,0,0,0,0
278,0.0,1,0,1.0,0.8,26.0,32,0,0,0,0,0,0,0
279,0.2,2,0,1.0,0.6,4.0,13,0,0,0,2,0,0,0
280,1.2,15,3,3.8,0.4,31.0,293,1,0,2,3,2,0,3
281,5.0,25,4,5.0,2.0,41.0,423,1,0,3,8,1,1,5
282,2.0,16,0,2.7,0.6,9.0,417,0,1,3,8,1,0,5
283,1.5,14,1,2.8,0.6,6.0,450,0,0,2,10,1,0,5
284,0.0,-1,0,0.0,0.3,0.0,0,0,0,0,0,1,0,0
285,1.5,12,0,2.4,0.5,13.0,427,0,0,2,8,2,0,5
286,0.0,1,0,1.0,0.0,0.0,1,0,0,0,0,0,0,0
287,2.0,8,2,4.0,2.0,35.0,39,1,0,0,0,0,0,0
288,1.5,13,0,2.2,0.2,52.0,421,0,0,2,8,0,0,5
558,1.5,10,0,1.7,0.8,93.0,451,0,0,2,8,1,0,6
591,2.5,11,0,2.2,0.3,36.0,264,0,1,2,2,1,0,3
610,0.2,0,0,0.0,0.2,0.0,106,0,0,0,3,0,1,1
625,0.0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0
651,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
652,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
662,0.2,3,0,1.0,0.0,21.0,32,0,0,0,3,0,0,0
683,0.5,2,0,2.0,0.0,17.0,74,0,0,0,5,0,0,0
688,3.8,15,3,5.0,0.4,31.0,197,0,0,2,1,1,0,2
692,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
707,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
